MentorID,Name,FinalScore,Rank
M101,Yash Patel,0.461734,1
M110,Rahul Bose,0.444259,2
M099,Harsh Khanna,0.441474,3
M097,Rahul Shah,0.415643,4
M303,Priya Menon,0.406152,5
M217,Varun Nair,0.405251,6
M111,Vikram Menon,0.402363,7
M268,Aditya Shah,0.39251,8
M096,Sanya Nair,0.391356,9
M398,Ananya Pillai,0.389821,10
M210,Aditya Chopra,0.385082,11
M117,Yash Kulkarni,0.38502,12
M256,Rohan Verma,0.384581,13
M260,Isha Chopra,0.383678,14
M374,Tanvi Jain,0.383342,15
M367,Aditi Verma,0.381408,16
M329,Sneha Yadav,0.381033,17
M182,Aditi Das,0.380763,18
M262,Varun Gupta,0.38036,19
M192,Aman Iyer,0.380348,20
M298,Isha Shah,0.379768,21
M065,Meera Gupta,0.378741,22
M003,Rahul Nair,0.377456,23
M132,Pooja Shah,0.3768,24
M184,Harsh Chopra,0.376773,25
M032,Diya Iyer,0.376064,26
M100,Aditi Jain,0.375823,27
M292,Aman Mehta,0.375334,28
M080,Aman Rao,0.374712,29
M185,Aarav Kulkarni,0.372385,30
M284,Neha Chopra,0.372299,31
M171,Kunal Pillai,0.371735,32
M294,Nikhil Das,0.371705,33
M138,Vikram Singh,0.371229,34
M283,Sneha Khanna,0.370566,35
M258,Aditya Patel,0.369652,36
M253,Ananya Singh,0.369495,37
M041,Riya Kapoor,0.368147,38
M103,Neha Sharma,0.368142,39
M391,Kabir Das,0.367613,40
M366,Priya Bose,0.366691,41
M344,Vikram Kulkarni,0.365649,42
M356,Pooja Bose,0.364475,43
M232,Neha Singh,0.364341,44
M339,Tanya Kapoor,0.364104,45
M029,Dev Mehta,0.363118,46
M265,Priya Gupta,0.362975,47
M083,Kriti Sharma,0.362724,48
M145,Tanya Bose,0.362423,49
M231,Kunal Shah,0.362378,50
M263,Isha Yadav,0.362003,51
M312,Karan Gupta,0.361063,52
M223,Diya Patel,0.360297,53
M059,Tanvi Shah,0.359922,54
M345,Yash Shah,0.359887,55
M169,Ankit Chopra,0.35983,56
M180,Yash Pillai,0.359676,57
M270,Tanvi Rao,0.359473,58
M307,Ankit Gupta,0.359336,59
M400,Ananya Iyer,0.35932,60
M066,Isha Menon,0.358968,61
M216,Kabir Chopra,0.358862,62
M316,Kabir Shah,0.357249,63
M291,Varun Jain,0.356694,64
M309,Karan Kulkarni,0.3565,65
M306,Pooja Khanna,0.356231,66
M296,Aarav Menon,0.356221,67
M030,Isha Kapoor,0.35622,67
M348,Kabir Pillai,0.355871,69
M285,Meera Sharma,0.355111,70
M112,Harsh Sharma,0.355028,71
M219,Rahul Nair,0.354807,72
M214,Nikhil Khanna,0.354411,73
M190,Rohan Rao,0.35438,74
M368,Tanvi Rao,0.353935,75
M062,Karan Verma,0.353735,76
M104,Rahul Verma,0.353475,77
M365,Kriti Gupta,0.353445,78
M024,Rohan Jain,0.352502,79
M257,Kunal Kapoor,0.352302,80
M162,Harsh Kapoor,0.351883,81
M279,Yash Menon,0.351741,82
M267,Meera Das,0.350024,83
M222,Aditya Das,0.349994,84
M165,Kunal Shah,0.349852,85
M070,Aditi Verma,0.349153,86
M042,Dev Das,0.349147,87
M161,Karan Mehta,0.349065,88
M381,Isha Kulkarni,0.34851,89
M009,Ananya Iyer,0.348276,90
M139,Vikram Jain,0.348161,91
M168,Ankit Nair,0.347234,92
M355,Sanya Sharma,0.347127,93
M362,Yash Gupta,0.345391,94
M228,Kunal Nair,0.34525,95
M373,Nikhil Das,0.345201,96
M046,Isha Singh,0.344333,97
M282,Neha Mehta,0.343969,98
M203,Pooja Rao,0.343822,99
M351,Sanya Kapoor,0.343735,100
M027,Priya Singh,0.343571,101
M082,Pooja Singh,0.343314,102
M086,Diya Jain,0.343026,103
M084,Ananya Menon,0.343012,104
M286,Tanvi Pillai,0.342824,105
M350,Karan Patel,0.342728,106
M340,Rahul Kulkarni,0.342248,107
M051,Karan Pillai,0.342036,108
M094,Harsh Menon,0.341497,109
M261,Vikram Khanna,0.341379,110
M012,Kriti Rao,0.341344,111
M058,Diya Verma,0.340572,112
M288,Sanya Jain,0.340566,113
M394,Diya Menon,0.340485,114
M089,Rohan Sharma,0.340318,115
M201,Harsh Iyer,0.340001,116
M128,Varun Jain,0.339705,117
M004,Kunal Iyer,0.33952,118
M141,Sneha Gupta,0.339468,119
M085,Aditi Jain,0.338606,120
M153,Harsh Das,0.338432,121
M343,Diya Mehta,0.33769,122
M028,Ankit Pillai,0.337501,123
M388,Tanvi Chopra,0.337431,124
M129,Kriti Singh,0.337366,125
M067,Karan Nair,0.337294,126
M310,Tanvi Chopra,0.336987,127
M108,Aarav Pillai,0.336786,128
M389,Ankit Iyer,0.336724,129
M007,Varun Khanna,0.336541,130
M349,Arjun Nair,0.336455,131
M359,Yash Mehta,0.336277,132
M079,Isha Pillai,0.336263,133
M304,Meera Kulkarni,0.3361,134
M114,Nikhil Iyer,0.336098,135
M081,Yash Patel,0.335579,136
M278,Harsh Verma,0.335528,137
M308,Karan Gupta,0.335369,138
M395,Ankit Das,0.33484,139
M360,Nikhil Patel,0.333062,140
M140,Aditi Patel,0.333038,141
M302,Karan Mehta,0.332601,142
M093,Kabir Chopra,0.332372,143
M176,Riya Bose,0.331999,144
M320,Sanya Bose,0.331865,145
M186,Meera Rao,0.331417,146
M354,Ankit Patel,0.331305,147
M033,Pooja Nair,0.331205,148
M369,Tanya Gupta,0.331066,149
M215,Tanya Jain,0.33106,150
M200,Ankit Verma,0.330469,151
M127,Isha Singh,0.330391,152
M105,Meera Singh,0.329934,153
M259,Sanya Singh,0.329711,154
M020,Neha Chopra,0.329578,155
M109,Kunal Bose,0.32953,156
M324,Meera Menon,0.329456,157
M035,Dev Jain,0.329101,158
M023,Harsh Yadav,0.328735,159
M001,Meera Kulkarni,0.328443,160
M015,Kabir Singh,0.328285,161
M052,Aarav Rao,0.328224,162
M019,Kriti Nair,0.328192,163
M370,Kunal Singh,0.3281,164
M347,Pooja Gupta,0.328002,165
M341,Arjun Iyer,0.327139,166
M151,Yash Patel,0.327078,167
M226,Yash Gupta,0.326902,168
M384,Sanya Singh,0.326876,169
M327,Dev Gupta,0.326609,170
M167,Yash Bose,0.326443,171
M346,Kabir Mehta,0.326303,172
M163,Aarav Iyer,0.326114,173
M002,Vikram Nair,0.32594,174
M037,Aditya Shah,0.325938,175
M237,Yash Patel,0.32593,176
M372,Aditi Jain,0.325446,177
M242,Aarav Chopra,0.324833,178
M191,Vikram Rao,0.324812,179
M047,Varun Iyer,0.324665,180
M295,Tanvi Khanna,0.324606,181
M213,Ananya Khanna,0.324271,182
M036,Kabir Jain,0.32408,183
M044,Ankit Jain,0.323918,184
M177,Rohan Yadav,0.323596,185
M353,Kabir Chopra,0.323452,186
M124,Ananya Khanna,0.323379,187
M123,Tanya Gupta,0.323004,188
M311,Tanvi Sharma,0.323001,189
M325,Tanvi Das,0.322938,190
M221,Arjun Singh,0.322394,191
M277,Ankit Gupta,0.321826,192
M069,Yash Kapoor,0.321643,193
M174,Ankit Gupta,0.321561,194
