MentorID,Name,FinalScore,Rank
M101,Yash Patel,0.216865,1
M099,Harsh Khanna,0.210296,2
M110,Rahul Bose,0.208287,3
M097,Rahul Shah,0.193683,4
M217,Varun Nair,0.189845,5
M303,Priya Menon,0.189236,6
M111,Vikram Menon,0.187474,7
M268,Aditya Shah,0.182298,8
M096,Sanya Nair,0.181785,9
M117,Yash Kulkarni,0.181575,10
M398,Ananya Pillai,0.180819,11
M210,Aditya Chopra,0.179504,12
M256,Rohan Verma,0.179425,13
M260,Isha Chopra,0.178704,14
M374,Tanvi Jain,0.178089,15
M367,Aditi Verma,0.177109,16
M298,Isha Shah,0.176878,17
M262,Varun Gupta,0.17681,18
M329,Sneha Yadav,0.176458,19
M182,Aditi Das,0.176258,20
M192,Aman Iyer,0.176155,21
M184,Harsh Chopra,0.175717,22
M065,Meera Gupta,0.175305,23
M003,Rahul Nair,0.174691,24
M132,Pooja Shah,0.174445,25
M032,Diya Iyer,0.173998,26
M292,Aman Mehta,0.173771,27
M100,Aditi Jain,0.173576,28
M080,Aman Rao,0.173257,29
M185,Aarav Kulkarni,0.172485,30
M284,Neha Chopra,0.172218,31
M171,Kunal Pillai,0.172195,32
M294,Nikhil Das,0.172003,33
M138,Vikram Singh,0.171667,34
M283,Sneha Khanna,0.171291,35
M258,Aditya Patel,0.17122,36
M041,Riya Kapoor,0.170821,37
M253,Ananya Singh,0.170718,38
M391,Kabir Das,0.170461,39
M103,Neha Sharma,0.169854,40
M344,Vikram Kulkarni,0.169624,41
M366,Priya Bose,0.169285,42
M232,Neha Singh,0.168943,43
M265,Priya Gupta,0.168734,44
M339,Tanya Kapoor,0.168658,45
M356,Pooja Bose,0.168578,46
M029,Dev Mehta,0.168199,47
M231,Kunal Shah,0.167719,48
M223,Diya Patel,0.167717,49
M083,Kriti Sharma,0.16764,50
M145,Tanya Bose,0.167218,51
M263,Isha Yadav,0.167033,52
M400,Ananya Iyer,0.166449,53
M312,Karan Gupta,0.166445,54
M059,Tanvi Shah,0.166123,55
M180,Yash Pillai,0.166083,56
M345,Yash Shah,0.166021,57
M270,Tanvi Rao,0.165996,58
M169,Ankit Chopra,0.165833,59
M066,Isha Menon,0.165644,60
M307,Ankit Gupta,0.165522,61
M216,Kabir Chopra,0.165507,62
M316,Kabir Shah,0.164999,63
M306,Pooja Khanna,0.164988,64
M291,Varun Jain,0.164868,65
M030,Isha Kapoor,0.164591,66
M348,Kabir Pillai,0.164482,67
M309,Karan Kulkarni,0.164375,68
M296,Aarav Menon,0.164201,69
M112,Harsh Sharma,0.164098,70
M214,Nikhil Khanna,0.16385,71
M285,Meera Sharma,0.163819,72
M368,Tanvi Rao,0.163553,73
M219,Rahul Nair,0.163473,74
M190,Rohan Rao,0.163456,75
M365,Kriti Gupta,0.163247,76
M062,Karan Verma,0.162959,77
M104,Rahul Verma,0.16248,78
M279,Yash Menon,0.162338,79
M024,Rohan Jain,0.162189,80
M257,Kunal Kapoor,0.162064,81
M162,Harsh Kapoor,0.161874,82
M267,Meera Das,0.161573,83
M222,Aditya Das,0.161207,84
M009,Ananya Iyer,0.16111,85
M165,Kunal Shah,0.161001,86
M161,Karan Mehta,0.160791,87
M070,Aditi Verma,0.16074,88
M042,Dev Das,0.160527,89
M381,Isha Kulkarni,0.160439,90
M139,Vikram Jain,0.159968,91
M355,Sanya Sharma,0.159767,92
M168,Ankit Nair,0.159365,93
M373,Nikhil Das,0.159027,94
M228,Kunal Nair,0.158945,95
M362,Yash Gupta,0.15878,96
M046,Isha Singh,0.158051,97
M351,Sanya Kapoor,0.158038,98
M282,Neha Mehta,0.157935,99
M203,Pooja Rao,0.157889,100
M027,Priya Singh,0.157778,101
M086,Diya Jain,0.157731,102
M082,Pooja Singh,0.157578,103
M084,Ananya Menon,0.157562,104
M286,Tanvi Pillai,0.157447,105
M350,Karan Patel,0.157385,106
M340,Rahul Kulkarni,0.157346,107
M051,Karan Pillai,0.157198,108
M094,Harsh Menon,0.157053,109
M394,Diya Menon,0.156873,110
M012,Kriti Rao,0.156715,111
M261,Vikram Khanna,0.156643,112
M058,Diya Verma,0.156514,113
M089,Rohan Sharma,0.1564,114
M288,Sanya Jain,0.156387,115
M128,Varun Jain,0.156065,116
M201,Harsh Iyer,0.156063,117
M141,Sneha Gupta,0.155683,118
M004,Kunal Iyer,0.155481,119
M343,Diya Mehta,0.155342,120
M153,Harsh Das,0.155211,121
M085,Aditi Jain,0.155191,122
M108,Aarav Pillai,0.155179,123
M388,Tanvi Chopra,0.154879,124
M359,Yash Mehta,0.154861,125
M007,Varun Khanna,0.154833,126
M129,Kriti Singh,0.154737,127
M067,Karan Nair,0.154693,128
M028,Ankit Pillai,0.154689,129
M349,Arjun Nair,0.154503,130
M310,Tanvi Chopra,0.154484,131
M304,Meera Kulkarni,0.154451,132
M389,Ankit Iyer,0.154437,133
M081,Yash Patel,0.154112,134
M079,Isha Pillai,0.154071,135
M114,Nikhil Iyer,0.154046,136
M278,Harsh Verma,0.153923,137
M395,Ankit Das,0.153775,138
M308,Karan Gupta,0.15359,139
M360,Nikhil Patel,0.152882,140
M140,Aditi Patel,0.152495,141
M093,Kabir Chopra,0.152286,142
M302,Karan Mehta,0.152251,143
M320,Sanya Bose,0.152107,144
M215,Tanya Jain,0.151965,145
M176,Riya Bose,0.151922,146
M186,Meera Rao,0.151921,147
M200,Ankit Verma,0.151698,148
M033,Pooja Nair,0.151691,149
M354,Ankit Patel,0.151596,150
M369,Tanya Gupta,0.151289,151
M127,Isha Singh,0.151234,152
M109,Kunal Bose,0.150956,153
M105,Meera Singh,0.150875,154
M324,Meera Menon,0.150832,155
M020,Neha Chopra,0.15083,156
M259,Sanya Singh,0.1506,157
M001,Meera Kulkarni,0.150505,158
M035,Dev Jain,0.150469,159
